rainfall,year,month,country
181.128,2008,3,AGO
98.9103,2008,4,AGO
18.2539,2008,5,AGO
0.3754,2008,6,AGO
0.27696,2008,7,AGO
3.04396,2008,8,AGO
18.8751,2008,9,AGO
78.43,2008,10,AGO
135.302,2008,11,AGO
168.317,2008,12,AGO
159.539,2009,1,AGO
166.03,2009,2,AGO
177.481,2009,3,AGO
118.1,2009,4,AGO
22.0463,2009,5,AGO
1.00792,2009,6,AGO
0.4199,2009,7,AGO
3.2444,2009,8,AGO
15.7283,2009,9,AGO
76.3342,2009,10,AGO
124.279,2009,11,AGO
161.4,2009,12,AGO
142.23,2010,1,AGO
119.64,2010,2,AGO
186.655,2010,3,AGO
106.779,2010,4,AGO
13.3553,2010,5,AGO
0.64873,2010,6,AGO
0.39059,2010,7,AGO
2.17121,2010,8,AGO
12.7825,2010,9,AGO
49.3914,2010,10,AGO
176.949,2010,11,AGO
136.788,2010,12,AGO
150.222,2011,1,AGO
135.253,2011,2,AGO
173.927,2011,3,AGO
106.52,2011,4,AGO
10.0337,2011,5,AGO
0.24786,2011,6,AGO
0.19739,2011,7,AGO
3.03138,2011,8,AGO
20.7002,2011,9,AGO
50.7132,2011,10,AGO
162.072,2011,11,AGO
194.753,2011,12,AGO
178.265,2012,1,AGO
173.243,2012,2,AGO
172.343,2012,3,AGO
105.115,2012,4,AGO
17.2891,2012,5,AGO
0.3848,2012,6,AGO
0.45468,2012,7,AGO
2.89051,2012,8,AGO
21.1404,2012,9,AGO
67.9341,2012,10,AGO
147.71,2012,11,AGO
143.65,2012,12,AGO
137.115,2013,1,AGO
142.032,2013,2,AGO
139.505,2013,3,AGO
116.777,2013,4,AGO
12.0314,2013,5,AGO
0.67304,2013,6,AGO
0.22596,2013,7,AGO
4.16048,2013,8,AGO
15.649,2013,9,AGO
61.069,2013,10,AGO
125.107,2013,11,AGO
194.51,2013,12,AGO
159.24,2014,1,AGO
132.171,2014,2,AGO
195.418,2014,3,AGO
123.439,2014,4,AGO
12.8138,2014,5,AGO
0.41014,2014,6,AGO
0.2497,2014,7,AGO
2.57074,2014,8,AGO
15.5713,2014,9,AGO
65.2012,2014,10,AGO
157.022,2014,11,AGO
161.117,2014,12,AGO
122.725,2015,1,AGO
120.345,2015,2,AGO
179.187,2015,3,AGO
65.6593,2015,4,AGO
19.2391,2015,5,AGO
0.3719,2015,6,AGO
0.45675,2015,7,AGO
2.31226,2015,8,AGO
19.974,2015,9,AGO
46.2413,2015,10,AGO
110.198,2015,11,AGO
214.341,2015,12,AGO
117.579,2016,1,AGO
126.061,2016,2,AGO
144.606,2016,3,AGO
82.7477,2016,4,AGO
10.0607,2016,5,AGO
0.66523,2016,6,AGO
0.20461,2016,7,AGO
2.57235,2016,8,AGO
20.8793,2016,9,AGO
120.752,2016,10,AGO
145.089,2016,11,AGO
193.75,2016,12,AGO
1.54788,1991,1,BEN
20.4778,1991,2,BEN
46.0302,1991,3,BEN
101.229,1991,4,BEN
213.959,1991,5,BEN
152.611,1991,6,BEN
228.063,1991,7,BEN
224.87,1991,8,BEN
127.231,1991,9,BEN
100.387,1991,10,BEN
1.49762,1991,11,BEN
2.13855,1991,12,BEN
0.08419,1992,1,BEN
0.44509,1992,2,BEN
7.94347,1992,3,BEN
80.3006,1992,4,BEN
144.986,1992,5,BEN
126.391,1992,6,BEN
191.139,1992,7,BEN
154.643,1992,8,BEN
182.063,1992,9,BEN
52.3506,1992,10,BEN
16.9643,1992,11,BEN
0.4703,1992,12,BEN
0.05896,1993,1,BEN
14.1447,1993,2,BEN
36.7217,1993,3,BEN
